,cases
0,226
1,270
2,295
3,381
4,484
5,484
6,688
7,936
8,1154
9,1407
10,1541
11,2105
12,2372
13,3033
14,3497
15,3542
16,3545
17,5615
18,6318
19,7197
20,7924
21,9235
22,10607
