,cases
0,16
1,16
2,17
3,19
4,36
5,49
6,75
7,129
8,230
9,253
10,287
11,391
12,444
13,597
14,788
15,922
16,1142
17,1425
18,1602
19,1883
20,2140
21,2347
22,2810
23,3150
24,3450
25,3732
26,4063
27,4382
28,4695
29,5081
30,5571
