,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,3
10,3
11,6
12,9
13,4
14,12
15,8
16,42
17,47
18,37
19,42
20,67
21,17
22,45
23,46
24,182
25,158
26,135
27,158
28,53
29,143
30,208
31,228
32,299
33,206
34,199
35,104
36,111
37,179
38,216
39,232
40,269
