,cases
0,11
1,33
2,80
3,97
4,135
5,219
6,314
7,366
8,500
9,558
10,681
11,886
12,1067
13,1211
14,1345
15,1794
16,2503
17,3062
18,3752
19,4994
20,5856
21,6558
22,7993
23,9481
24,11150
25,12881
26,13989
27,14810
28,16497
29,18496
30,20237
