,tot_hosps
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,3
14,7
15,5
16,3
17,7
18,10
19,8
20,17
21,12
22,22
23,33
24,28
25,23
26,27
27,36
28,41
29,56
30,43
31,35
32,31
33,23
34,33
35,37
36,26
37,37
38,22
39,27
40,14
41,19
42,14
43,22
44,9
45,7
46,11
47,9
48,10
49,11
50,12
51,4
52,14
53,9
54,5
55,5
56,4
57,8
58,5
59,8
60,4
61,5
62,2
63,6
64,0
65,2
66,2
67,2
68,1
69,2
70,3
71,4
72,2
73,2
74,1
75,1
76,2
77,3
