,cases
0,5
1,6
2,8
3,11
4,17
5,17
6,25
7,25
8,52
9,102
10,121
11,168
12,325
13,442
14,474
15,637
16,801
17,938
18,1053
19,1177
20,1370
21,1591
22,1816
23,1971
24,2212
