,cases
0,22
1,45
2,68
3,142
4,154
5,176
6,237
7,277
8,454
9,454
10,569
11,827
12,1105
13,1522
14,1652
15,2198
16,2789
17,3711
18,3850
19,3854
20,5391
21,6069
22,7283
23,8161
24,9781
