,cases
0,1
1,2
2,3
3,4
4,10
5,15
6,20
7,23
8,29
9,37
10,92
11,264
12,516
13,676
14,804
15,836
16,875
17,932
18,1024
19,1115
20,1223
21,1335
22,1418
23,1512
24,1582
25,1717
26,1861
27,2023
28,2199
29,2366
30,2564
31,2755
32,3039
33,3290
34,3573
35,3946
36,4268
37,4561
38,4875
39,5266
40,5597
41,5830
42,6014
43,6191
44,6369
45,6513
46,6706
47,6876
48,7074
49,7268
50,7437
51,7580
52,7711
53,7891
54,8108
55,8271
56,8408
57,8643
58,8773
59,8896
